,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9
0,0.8333333333333334,0.3333333333333333,0.5833333333333334,0.5,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.5,0.4166666666666667
1,0.5,0.75,0.6666666666666666,0.5,0.6666666666666666,0.5833333333333334,0.5,0.6875,0.8333333333333334
2,0.8333333333333334,0.4166666666666667,0.75,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.6875,0.6666666666666666
3,1.0,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.9166666666666666,0.5,0.5,0.625,0.6666666666666666
4,0.6666666666666666,0.3333333333333333,0.4166666666666667,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.625,0.6666666666666666
5,1.0,0.5,0.6666666666666666,0.5833333333333334,1.0,0.6666666666666666,0.4166666666666667,0.375,0.3333333333333333
6,0.9166666666666666,0.4166666666666667,0.5833333333333334,1.0,0.8333333333333334,0.9166666666666666,0.4166666666666667,0.6875,0.5
7,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.625,0.75
8,1.0,0.4166666666666667,0.6666666666666666,0.8333333333333334,1.0,0.9166666666666666,0.6666666666666666,0.875,0.9166666666666666
9,1.0,0.5,0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0,0.5,0.625,0.75
